grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int
604,154.106,14.244,224.33,11057.29,90.134,6642.0,91.96,(-2-1-9),[-2-61],Other/Random,23.26,"-2,-1,-9","-2,-6,1"
605,152.594,33.258,239.31,11196.51,67.287,2538.0,56.85,(-4-2-7),[-5-106],Other/Random,35.68,"-4,-2,-7","-5,-10,6"
606,332.758,50.618,42.68,12046.93,50.231,351.0,21.14,(16918),[5-80],Other/Random,31.81,"16,9,18","5,-8,0"
607,202.073,22.678,135.82,13126.18,61.154,2574.0,57.25,(9424),[-21-5616],Other/Random,31.57,"9,4,24","-21,-56,16"
608,359.946,28.208,17.61,13767.58,56.763,2052.0,51.11,(-50-9),[27-1],Other/Random,24.26,"-5,0,-9","2,7,-1"
609,63.288,19.323,285.3,13822.37,90.911,8919.0,106.56,(-2-1-6),[-15-35],Other/Random,22.41,"-2,-1,-6","-15,-3,5"
610,37.153,48.755,322.77,15228.91,60.567,3429.0,66.08,(869),[-210-5],Other/Random,29.37,"8,6,9","-2,10,-5"
611,148.352,47.609,225.9,15696.25,50.616,774.0,31.39,(-56-36-63),[0-85],Other/Random,32.86,"-56,-36,-63","0,-8,5"
612,226.549,53.401,145.91,16064.34,106.505,14770.0,137.13,(-9-8-9),[9-4-5],Other/Random,35.8,"-9,-8,-9","9,-4,-5"
613,238.889,48.429,155.79,1907.85,53.415,1062.0,36.77,(-7-4-7),[63-56-27],Other/Random,45.63,"-7,-4,-7","63,-56,-27"
614,24.5,49.111,327.66,2954.35,63.707,2025.0,50.78,(-9-4-9),[4-90],Other/Random,23.96,"-9,-4,-9","4,-9,0"
615,7.504,43.23,353.39,3065.36,51.506,801.0,31.94,(110),[001],Goss {110}<001>,5.65,"1,1,0","0,0,1"
616,177.897,37.027,193.47,4693.15,91.901,5013.0,79.89,(110),[001],Goss {110}<001>,14.36,"1,1,0","0,0,1"
617,4.225,13.033,349.77,5974.07,56.7,630.0,28.32,(001),[100],Cube {001}<100>,14.34,"0,0,1","1,0,0"
618,321.739,56.525,44.75,6316.94,47.559,306.0,19.74,(151418),[9-122],Other/Random,37.07,"15,14,18","9,-12,2"
619,309.493,28.839,75.78,6407.65,71.896,4653.0,76.97,(9721),[-7-34],Other/Random,33.28,"9,7,21","-7,-3,4"
620,158.014,20.91,191.8,7472.14,88.232,8370.0,103.23,(-21-8-56),[9-455],Other/Random,23.23,"-21,-8,-56","9,-45,5"
621,46.835,45.9,322.47,9197.0,38.0,27.0,5.86,(-21-20-28),[-623],Other/Random,33.12,"-21,-20,-28","-6,2,3"
622,84.952,42.575,314.2,9319.87,44.333,405.0,22.71,(-8-1-9),[-323627],Other/Random,40.77,"-8,-1,-9","-32,36,27"
623,44.947,58.879,317.83,9333.6,39.0,90.0,10.7,(767),[8-6-3],Other/Random,39.68,"7,6,7","8,-6,-3"
624,30.167,32.423,309.07,10653.86,53.964,756.0,31.03,(539),[414-7],Other/Random,34.97,"5,3,9","4,14,-7"
625,39.805,20.87,321.95,12374.31,83.557,10590.0,116.14,(8728),[-19-2],Other/Random,20.94,"8,7,28","-1,9,-2"
626,203.593,27.699,124.09,13607.11,53.625,576.0,27.08,(5210),[-10-189],Other/Random,30.41,"5,2,10","-10,-18,9"
627,138.139,47.595,224.67,136.34,69.639,1818.0,48.11,(-28-25-35),[8-5635],Other/Random,33.52,"-28,-25,-35","8,-56,35"
628,229.625,48.395,135.73,703.18,52.672,549.0,26.44,(-6-5-7),[56-16-35],Other/Random,33.96,"-6,-5,-7","56,-16,-35"
629,181.783,23.606,160.79,1239.35,42.882,153.0,13.96,(409),[-2-71],Other/Random,27.72,"4,0,9","-2,-7,1"
630,13.167,37.331,315.14,2765.77,47.077,117.0,12.21,(9212),[818-9],Other/Random,36.71,"9,2,12","8,18,-9"
631,146.081,46.333,224.89,2806.31,50.906,288.0,19.15,(-49-32-56),[0-53],Other/Random,31.77,"-49,-32,-56","0,-5,3"
632,338.858,10.635,26.62,4615.6,76.918,4590.0,76.45,(001),[100],Cube {001}<100>,11.96,"0,0,1","1,0,0"
633,355.704,36.619,11.16,10072.09,44.182,99.0,11.23,(110),[001],Goss {110}<001>,11.85,"1,1,0","0,0,1"
634,0.615,7.021,12.35,12058.18,55.957,414.0,22.96,(001),[100],Cube {001}<100>,14.74,"0,0,1","1,0,0"
635,325.494,25.535,49.87,12214.2,63.799,1251.0,39.91,(-14-10-35),[1672-27],Other/Random,29.73,"-14,-10,-35","16,72,-27"
636,328.215,15.487,47.34,12842.42,82.404,4095.0,72.21,(-14-9-63),[520-4],Other/Random,21.92,"-14,-9,-63","5,20,-4"
637,167.412,31.647,180.51,12844.5,39.0,36.0,6.77,(-21-5-35),[2-90],Other/Random,18.06,"-21,-5,-35","2,-9,0"
638,13.796,32.025,310.65,13651.0,45.2,135.0,13.11,(21535),[610-5],Other/Random,33.35,"21,5,35","6,10,-5"
639,147.755,36.523,223.05,15359.47,42.176,153.0,13.96,(-25-16-40),[-1-94],Other/Random,28.88,"-25,-16,-40","-1,-9,4"
640,345.579,42.256,43.66,15804.01,85.173,4536.0,76.0,(-63-16-72),[2772-40],Other/Random,34.71,"-63,-16,-72","27,72,-40"
641,149.137,47.051,215.65,16518.54,70.466,2745.0,59.12,(-8-5-9),[2-189],Other/Random,26.15,"-8,-5,-9","2,-18,9"
642,37.273,52.979,323.45,734.04,79.442,2340.0,54.58,(-4-3-4),[5-92],Other/Random,31.12,"-4,-3,-4","5,-9,2"
643,208.253,53.385,124.34,862.27,58.394,639.0,28.52,(-15-10-18),[-892],Other/Random,43.2,"-15,-10,-18","-8,9,2"
644,45.054,48.592,323.0,1975.55,75.975,4266.0,73.7,(-4-4-5),[-935],Other/Random,33.02,"-4,-4,-5","-9,3,5"
645,331.543,53.619,45.49,3683.3,66.632,1197.0,39.04,(151018),[5-70],Other/Random,35.13,"15,10,18","5,-7,0"
646,305.694,39.45,49.23,5560.63,56.314,630.0,28.32,(436),[-925],Other/Random,28.01,"4,3,6","-9,2,5"
647,318.64,35.726,61.98,6306.0,43.5,18.0,4.79,(-10-9-18),[1656-35],Other/Random,33.64,"-10,-9,-18","16,56,-35"
648,128.803,47.594,229.78,6743.46,63.75,1728.0,46.91,(181421),[63-14-45],Other/Random,30.67,"18,14,21","63,-14,-45"
649,40.626,43.155,310.91,8785.69,70.23,3798.0,69.54,(252135),[05-3],Other/Random,33.9,"25,21,35","0,5,-3"
650,45.238,54.178,324.13,9200.25,44.25,36.0,6.77,(-1-1-1),[-351420],Other/Random,35.58,"-1,-1,-1","-35,14,20"
651,188.161,42.691,135.1,9614.12,89.826,5274.0,81.95,(64972),[-40-7245],Other/Random,39.46,"64,9,72","-40,-72,45"
652,202.725,16.28,187.13,11577.6,84.638,4653.0,76.97,(18763),[4-70],Other/Random,22.2,"18,7,63","4,-7,0"
653,320.371,43.987,54.1,12003.53,65.679,2187.0,52.77,(-6-5-8),[19-6],Other/Random,34.74,"-6,-5,-8","1,9,-6"
654,209.964,43.216,131.99,12597.0,43.5,18.0,4.79,(362045),[-5-3018],Other/Random,33.38,"36,20,45","-5,-30,18"
655,196.988,50.015,134.43,12941.03,56.024,747.0,30.84,(-49-16-56),[-14216],Other/Random,36.53,"-49,-16,-56","-14,21,6"
656,336.189,40.172,50.96,15031.82,57.395,684.0,29.51,(-7-3-9),[824-15],Other/Random,37.16,"-7,-3,-9","8,24,-15"
657,159.438,2.106,158.18,15397.44,93.98,6174.0,88.66,(001),[110],Rotated Cube {001}<110>,3.36,"0,0,1","1,1,0"
658,316.767,14.076,45.65,15652.84,62.971,1854.0,48.59,(001),[100],Cube {001}<100>,14.28,"0,0,1","1,0,0"
659,40.354,19.063,299.78,15869.41,99.708,4806.0,78.23,(9836),[13-1],Other/Random,27.47,"9,8,36","1,3,-1"
660,336.996,39.372,52.43,16731.98,86.492,5580.0,84.29,(-9-4-12),[1640-25],Other/Random,38.76,"-9,-4,-12","16,40,-25"
661,3.809,16.432,324.3,16763.21,56.625,648.0,28.72,(207),[35-1],Other/Random,20.99,"2,0,7","3,5,-1"
662,179.487,21.738,169.13,1255.0,49.333,81.0,10.16,(-20-5),[9-45-5],Other/Random,24.51,"-2,0,-5","9,-45,-5"
663,24.564,51.342,309.92,2020.13,63.375,576.0,27.08,(-63-32-72),[7-9-2],Other/Random,38.54,"-63,-32,-72","7,-9,-2"
664,154.984,14.095,176.54,3099.58,62.339,981.0,35.34,(-2-1-9),[5-90],Other/Random,21.69,"-2,-1,-9","5,-9,0"
665,188.024,11.486,151.19,3462.22,63.181,747.0,30.84,(105),[-27-728],Other/Random,23.72,"1,0,5","-27,-72,8"
666,33.168,40.429,314.99,3585.98,75.259,2187.0,52.77,(452863),[218-9],Other/Random,30.42,"45,28,63","2,18,-9"
667,10.732,13.786,351.86,4392.55,60.091,594.0,27.5,(001),[100],Cube {001}<100>,14.03,"0,0,1","1,0,0"
668,351.318,16.099,8.16,4561.67,64.821,1557.0,44.52,(-20-7),[010],Other/Random,16.11,"-2,0,-7","0,1,0"
669,197.753,43.322,135.37,5009.5,48.5,54.0,8.29,(561863),[-7-2112],Other/Random,34.13,"56,18,63","-7,-21,12"
670,183.539,38.688,172.9,5716.46,65.304,1242.0,39.77,(110),[001],Goss {110}<001>,8.08,"1,1,0","0,0,1"
671,13.299,29.603,348.5,5834.44,76.747,3060.0,62.42,(40972),[-19-1],Other/Random,17.32,"40,9,72","-1,9,-1"
672,149.836,37.804,192.58,7600.03,66.342,2367.0,54.9,(-10-6-15),[21-568],Other/Random,23.39,"-10,-6,-15","21,-56,8"
673,27.712,31.568,311.01,7792.26,82.271,4779.0,78.01,(351863),[1863-28],Other/Random,34.36,"35,18,63","18,63,-28"
674,28.442,27.125,313.77,8184.81,67.065,1674.0,46.17,(16936),[28-3],Other/Random,32.35,"16,9,36","2,8,-3"
675,131.501,38.593,231.65,9324.19,97.493,6003.0,87.43,(272545),[9-1-5],Other/Random,28.78,"27,25,45","9,-1,-5"
676,338.154,18.251,341.54,12162.72,78.908,3123.0,63.06,(-16-7-56),[-20243],Other/Random,18.84,"-16,-7,-56","-20,24,3"
677,157.291,36.785,227.74,13627.58,58.385,702.0,29.9,(-14-6-21),[-2-63],Other/Random,34.7,"-14,-6,-21","-2,-6,3"
678,213.389,49.72,127.73,14932.98,71.129,1953.0,49.87,(323),[-4-3627],Other/Random,38.22,"3,2,3","-4,-36,27"
679,310.828,46.381,49.69,313.83,70.169,1386.0,42.01,(121015),[-614],Other/Random,30.97,"12,10,15","-6,1,4"
680,148.652,26.583,218.26,1221.46,93.294,8352.0,103.12,(-12-7-28),[-7-6318],Other/Random,27.45,"-12,-7,-28","-7,-63,18"
681,198.666,18.933,149.72,1267.76,57.31,261.0,18.23,(319),[-1-61],Other/Random,22.18,"3,1,9","-1,-6,1"
682,348.104,19.61,5.01,2433.92,75.827,1404.0,42.28,(-3-1-9),[-180],Other/Random,20.77,"-3,-1,-9","-1,8,0"
683,287.405,13.123,50.34,2521.29,63.912,918.0,34.19,(219),[-35157],Other/Random,25.79,"2,1,9","-35,15,7"
684,173.638,39.924,206.83,2913.23,54.462,117.0,12.21,(-15-2-18),[-3-124],Other/Random,23.09,"-15,-2,-18","-3,-12,4"
