grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int,on_Lambda_fiber,Lambda_fiber_deviation_deg,on_Gamma_fiber,Gamma_fiber_deviation_deg,on_Eta_fiber,Eta_fiber_deviation_deg,on_Alpha_fiber,Alpha_fiber_deviation_deg
94,189.082,40.105,136.57,4107.75,4.705,396.0,22.45,(20324),[-9-1810],Other/Random,37.53,"20,3,24","-9,-18,10",False,40.1,False,29.82,False,36.86,False,28.49
95,187.481,46.934,136.92,4156.51,25.865,3591.0,67.62,(-64-9-72),[-457232],Other/Random,38.29,"-64,-9,-72","-45,72,32",False,43.59,False,29.85,False,38.29,False,24.79
96,328.192,13.587,56.59,4197.45,9.278,486.0,24.88,(001),[49-2],Other/Random,24.32,"0,0,1","4,9,-2",True,13.59,False,41.59,False,26.41,False,23.7
97,329.109,52.605,40.94,4207.07,2.571,126.0,12.67,(-1-11),[101],Other/Random,31.53,"-1,-1,1","1,0,1",False,47.02,True,11.55,False,31.51,True,13.84
98,136.18,55.447,227.22,4225.83,1.667,162.0,14.36,(111),[10-1],Other/Random,38.36,"1,1,1","1,0,-1",False,53.54,True,1.2,False,38.9,True,12.1
99,206.752,40.207,166.95,4273.93,25.392,3123.0,63.06,(638),[2-71],Other/Random,19.82,"6,3,8","2,-7,1",False,40.21,False,19.69,False,18.64,False,29.4
100,117.138,4.773,258.82,4295.57,2.929,378.0,21.94,(001),[6318-7],Other/Random,16.65,"0,0,1","63,18,-7",True,4.77,False,50.21,False,16.58,False,29.42
101,322.866,42.113,44.0,4323.66,6.469,288.0,19.15,(-1-11),[02-1],Other/Random,30.37,"-1,-1,1","0,2,-1",False,42.11,True,13.91,False,27.8,False,17.28
102,211.097,17.034,165.56,4347.75,0.375,72.0,9.57,(3212),[3-91],Other/Random,23.78,"3,2,12","3,-9,1",False,17.03,False,38.35,False,17.75,False,28.02
103,217.957,33.84,117.73,4383.57,9.389,1179.0,38.74,(251845),[-15-4024],Other/Random,36.56,"25,18,45","-15,-40,24",False,33.84,False,21.44,False,35.01,False,21.92
